Codigo,Expositor,Posicao,Unidade,Referencia,Quantidade 
1062425,3,1,Metro Quadrado,,1
1110443,3,2,Metro Quadrado,,1
1084939,3,3,Metro Quadrado,,1
0,3,4,Metro Quadrado,Coliseu Be Pol,1
1094834,3,5,Metro Quadrado,,1
1062586,3,6,Metro Quadrado,,1
1116075,3,7,Metro Quadrado,,1
1082512,3,8,Metro Quadrado,,1
1083657,3,9,Metro Quadrado,,1
1063215,3,10,Metro Quadrado,,1
1116729,3,11,Metro Quadrado,,1
1062716,3,12,Metro Quadrado,,1
1062151,3,13,Metro Quadrado,,1
1062157,3,14,Metro Quadrado,,1
1064018,3,15,Metro Quadrado,,1
1062181,3,16,Metro Quadrado,,1
1105812,3,17,Metro Quadrado,,1
1067701,3,18,Metro Quadrado,,1
1093977,3,19,Metro Quadrado,,1
1083778,3,20,Metro Quadrado,,1
0,3,21,Metro Quadrado,Audaz Dgr Nat,1
1078112,3,22,Metro Quadrado,,1
1078722,3,23,Metro Quadrado,,1
1077475,3,24,Metro Quadrado,,1
1073008,3,25,Metro Quadrado,,1
1105511,3,26,Metro Quadrado,,1
1085893,3,27,Metro Quadrado,,1
1113999,3,28,Metro Quadrado,,1
1109164,3,29,Metro Quadrado,,1
1094740,3,30,Metro Quadrado,,1
1078261,3,31,Metro Quadrado,,1
0,3,32,Metro Quadrado,Munich Dgr Nat,1
1108940,3,33,Metro Quadrado,,1
